00:20:01 4,80 0,00 2,09 0,37 0,00 92,74 
00:30:01 13,99 0,00 3,15 1,35 0,00 81,52 
00:40:01 10,68 0,00 2,79 2,01 0,00 84,52 
00:50:01 6,85 0,00 2,94 0,88 0,00 89,33 
01:00:02 11,01 0,00 3,19 0,65 0,00 85,15 
01:10:01 18,54 0,00 3,85 0,51 0,00 77,10 
01:20:01 4,35 0,00 1,34 0,42 0,00 93,89 
01:30:01 9,65 0,00 2,74 1,23 0,00 86,38 
01:40:01 4,98 0,00 1,48 0,38 0,00 93,16 
01:50:01 10,34 0,00 3,21 0,54 0,00 85,91 
02:00:02 33,40 0,00 5,86 2,45 0,00 58,29 
02:10:01 22,27 0,00 7,56 7,92 0,00 62,25 
02:20:01 12,66 0,00 2,70 0,68 0,00 83,96 
02:30:01 4,15 0,00 1,15 0,54 0,00 94,16 
02:40:01 4,09 0,00 1,10 0,52 0,00 94,29 
02:50:01 4,36 0,00 1,35 0,49 0,00 93,79 
03:00:01 4,42 0,00 1,23 0,46 0,00 93,89 
03:10:01 4,10 0,00 1,14 0,53 0,00 94,23 
03:20:02 4,49 0,27 2,23 3,80 0,00 89,21 
03:30:01 5,49 21,88 11,72 1,66 0,00 59,25 
03:40:01 5,99 18,27 1,92 0,90 0,00 72,91 
03:50:01 20,74 16,39 5,31 5,89 0,00 51,67 
04:00:01 5,77 20,02 1,63 0,49 0,00 72,09 
04:10:01 5,08 10,20 1,82 0,54 0,00 82,36 
04:20:01 4,97 0,28 2,19 0,56 0,00 92,00 
04:30:02 4,68 0,27 1,91 0,56 0,00 92,57 
04:40:01 4,72 0,24 1,90 0,61 0,00 92,52 
04:50:01 5,21 0,28 2,29 0,51 0,00 91,71 
05:00:01 4,86 0,27 1,94 0,56 0,00 92,36 
05:10:01 4,75 0,26 1,88 0,59 0,00 92,51 
05:20:02 4,84 0,26 2,08 0,51 0,00 92,32 
05:30:01 4,52 0,25 1,87 0,57 0,00 92,79 
05:40:01 4,89 1,00 2,03 0,56 0,00 91,52 
05:50:01 5,62 1,41 2,36 0,57 0,00 90,05 
06:00:01 5,37 1,22 2,17 0,59 0,00 90,65 
06:10:01 5,04 1,68 2,09 0,51 0,00 90,69 
06:20:01 5,58 1,28 2,35 0,63 0,00 90,16 
06:30:01 42,97 0,04 1,31 0,43 0,00 55,25 
06:40:01 43,12 0,03 1,21 0,48 0,00 55,16 
06:50:01 43,23 0,03 1,40 0,45 0,00 54,91 
07:00:01 42,95 0,03 1,14 0,47 0,00 55,42 
07:10:01 25,82 16,35 1,48 0,43 0,00 55,92 
07:20:01 7,51 33,58 1,79 0,38 0,00 56,73 
07:30:01 7,32 33,65 1,56 0,44 0,00 57,02 
