00:20:01 4,60 0,00 1,07 0,44 0,00 93,89
00:30:01 11,42 0,00 2,67 0,63 0,00 85,28
00:40:01 7,54 0,00 2,12 0,78 0,00 89,56
00:50:01 5,12 0,00 1,21 0,52 0,00 93,15
01:00:01 5,66 0,00 1,57 0,66 0,00 92,11
01:10:01 4,09 0,00 1,05 0,57 0,00 94,29
01:20:01 4,18 0,00 0,91 0,54 0,00 94,37
01:30:01 4,14 0,00 0,87 0,54 0,00 94,45
01:40:01 4,41 0,00 1,06 0,59 0,00 93,94
01:50:01 4,05 0,00 0,83 0,46 0,00 94,66
02:00:01 9,68 0,69 5,59 0,58 0,00 83,46
02:10:01 15,94 1,55 11,64 0,55 0,00 70,32
02:20:01 15,68 1,55 11,53 0,37 0,00 70,86
02:30:01 14,51 1,56 11,38 0,28 0,00 72,27
02:40:01 13,74 1,55 11,05 0,32 0,00 73,34
02:50:01 11,88 2,85 3,63 0,38 0,00 81,25
03:00:01 10,95 2,27 3,25 0,41 0,00 83,12
03:10:02 9,98 2,19 2,88 0,35 0,00 84,60
03:20:01 11,44 2,59 3,17 0,30 0,00 82,50
03:30:02 14,90 19,11 13,58 5,50 0,00 46,92
03:40:01 19,57 33,38 2,10 0,22 0,00 44,72
03:50:01 19,42 33,46 2,23 0,19 0,00 44,70
04:00:01 15,15 4,66 1,61 0,50 0,00 78,08
04:10:01 14,64 2,75 1,41 0,40 0,00 80,79
04:20:01 9,77 4,35 0,74 0,41 0,00 84,72
04:30:02 9,71 4,35 0,67 0,37 0,00 84,89
04:40:01 9,48 4,43 0,55 0,33 0,00 85,20
04:50:01 9,15 4,78 0,48 0,40 0,00 85,19
05:00:01 15,70 7,90 2,10 0,28 0,00 74,03
05:10:01 23,12 11,67 3,69 0,24 0,00 61,28
05:20:01 23,62 11,70 3,88 0,31 0,00 60,49
05:30:01 23,85 11,67 3,74 0,26 0,00 60,47
05:40:01 23,26 11,68 3,73 0,30 0,00 61,04
05:50:01 7,77 1,02 5,16 0,34 0,00 85,71
06:00:01 6,64 0,36 5,08 0,38 0,00 87,53
06:10:01 6,64 0,36 5,06 0,33 0,00 87,61
06:20:01 6,84 0,31 5,27 0,36 0,00 87,22
06:30:01 12,01 2,53 13,85 0,34 0,00 71,28
06:40:02 18,85 5,27 24,83 0,24 0,00 50,81
06:50:01 19,05 5,27 24,95 0,29 0,00 50,44
07:00:01 18,88 5,27 24,77 0,25 0,00 50,83
07:10:01 18,91 5,26 24,78 0,25 0,00 50,80
07:20:01 3,95 0,39 2,27 0,40 0,00 92,99
07:30:01 3,15 0,11 0,74 0,41 0,00 95,59
07:40:01 3,34 0,13 0,75 0,37 0,00 95,41
07:50:01 3,58 0,13 0,95 0,38 0,00 94,95
08:00:01 6,41 2,14 2,09 0,43 0,00 88,93
08:10:01 7,90 4,45 3,44 0,40 0,00 83,81
08:20:01 8,15 4,43 3,46 0,31 0,00 83,65
08:30:01 8,16 4,45 3,50 0,38 0,00 83,51
08:40:01 8,04 4,48 3,53 0,34 0,00 83,62
08:50:01 9,47 3,70 3,24 0,43 0,00 83,16
08:51:00 0,00 0,00 0,00 0,00 0,00 100,00
10:19:00 0,00 0,00 0,00 0,00 0,00 100,00
10:20:01 0,00 0,00 0,00 0,00 0,00 0,00
10:30:01 17,94 0,00 3,94 3,24 0,00 74,87
